participant_id,video_id,start_frame,stop_frame,verb_class,noun_class,all_noun_classes,start_timestamp,stop_timestamp,narration_id,action_class
P22-R03-BaconAndEggs,P22-R03-BaconAndEggs_466500-470900-F011186-F011312,11186,11312,0,0,0,,,P22-R03-BaconAndEggs-466500-470900-F011186-F011312,0
P22-R03-BaconAndEggs,P22-R03-BaconAndEggs_48426-70910-F001108-F001756,1108,1756,0,0,0,,,P22-R03-BaconAndEggs-48426-70910-F001108-F001756,0
P22-R03-BaconAndEggs,P22-R03-BaconAndEggs_618553-620095-F014842-F014886,14842,14886,0,0,0,,,P22-R03-BaconAndEggs-618553-620095-F014842-F014886,0
P22-R03-BaconAndEggs,P22-R03-BaconAndEggs_681910-687900-F016351-F016524,16351,16524,0,0,0,,,P22-R03-BaconAndEggs-681910-687900-F016351-F016524,0
P22-R03-BaconAndEggs,P22-R03-BaconAndEggs_880685-886540-F021122-F021291,21122,21291,0,0,0,,,P22-R03-BaconAndEggs-880685-886540-F021122-F021291,0
P22-R03-BaconAndEggs,P22-R03-BaconAndEggs_903240-904463-F021674-F021711,21674,21711,0,0,0,,,P22-R03-BaconAndEggs-903240-904463-F021674-F021711,0
P22-R03-BaconAndEggs,P22-R03-BaconAndEggs_904463-908150-F021698-F021805,21698,21805,0,0,0,,,P22-R03-BaconAndEggs-904463-908150-F021698-F021805,0
P23-R03-BaconAndEggs,P23-R03-BaconAndEggs_1493126-1509700-F035796-F036272,35796,36272,0,0,0,,,P23-R03-BaconAndEggs-1493126-1509700-F035796-F036272,0
P23-R03-BaconAndEggs,P23-R03-BaconAndEggs_2358015-2361222-F056585-F056677,56585,56677,0,0,0,,,P23-R03-BaconAndEggs-2358015-2361222-F056585-F056677,0
P23-R03-BaconAndEggs,P23-R03-BaconAndEggs_356826-360080-F008555-F008650,8555,8650,0,0,0,,,P23-R03-BaconAndEggs-356826-360080-F008555-F008650,0
P23-R03-BaconAndEggs,P23-R03-BaconAndEggs_375965-380360-F009013-F009139,9013,9139,0,0,0,,,P23-R03-BaconAndEggs-375965-380360-F009013-F009139,0
P23-R03-BaconAndEggs,P23-R03-BaconAndEggs_387652-397000-F009281-F009550,9281,9550,0,0,0,,,P23-R03-BaconAndEggs-387652-397000-F009281-F009550,0
P23-R03-BaconAndEggs,P23-R03-BaconAndEggs_412213-423890-F009865-F010202,9865,10202,0,0,0,,,P23-R03-BaconAndEggs-412213-423890-F009865-F010202,0
P23-R03-BaconAndEggs,P23-R03-BaconAndEggs_466326-469909-F011183-F011286,11183,11286,0,0,0,,,P23-R03-BaconAndEggs-466326-469909-F011183-F011286,0
P23-R03-BaconAndEggs,P23-R03-BaconAndEggs_529929-534940-F012706-F012851,12706,12851,0,0,0,,,P23-R03-BaconAndEggs-529929-534940-F012706-F012851,0
P23-R03-BaconAndEggs,P23-R03-BaconAndEggs_63865-79790-F001494-F001953,1494,1953,0,0,0,,,P23-R03-BaconAndEggs-63865-79790-F001494-F001953,0
P23-R03-BaconAndEggs,P23-R03-BaconAndEggs_714270-722038-F017124-F017347,17124,17347,0,0,0,,,P23-R03-BaconAndEggs-714270-722038-F017124-F017347,0
P23-R03-BaconAndEggs,P23-R03-BaconAndEggs_759718-762403-F018227-F018304,18227,18304,0,0,0,,,P23-R03-BaconAndEggs-759718-762403-F018227-F018304,0
P23-R03-BaconAndEggs,P23-R03-BaconAndEggs_774237-779810-F018568-F018729,18568,18729,0,0,0,,,P23-R03-BaconAndEggs-774237-779810-F018568-F018729,0
P23-R03-BaconAndEggs,P23-R03-BaconAndEggs_794429-802700-F019046-F019285,19046,19285,0,0,0,,,P23-R03-BaconAndEggs-794429-802700-F019046-F019285,0
P24-R03-BaconAndEggs,P24-R03-BaconAndEggs_1002834-1007968-F024056-F024204,24056,24204,0,0,0,,,P24-R03-BaconAndEggs-1002834-1007968-F024056-F024204,0
P24-R03-BaconAndEggs,P24-R03-BaconAndEggs_1007968-1009567-F024187-F024234,24187,24234,0,0,0,,,P24-R03-BaconAndEggs-1007968-1009567-F024187-F024234,0
P24-R03-BaconAndEggs,P24-R03-BaconAndEggs_1009567-1042310-F024151-F025094,24151,25094,0,0,0,,,P24-R03-BaconAndEggs-1009567-1042310-F024151-F025094,0
P24-R03-BaconAndEggs,P24-R03-BaconAndEggs_139496-146720-F003330-F003539,3330,3539,0,0,0,,,P24-R03-BaconAndEggs-139496-146720-F003330-F003539,0
P24-R03-BaconAndEggs,P24-R03-BaconAndEggs_146720-150173-F003513-F003613,3513,3613,0,0,0,,,P24-R03-BaconAndEggs-146720-150173-F003513-F003613,0
P24-R03-BaconAndEggs,P24-R03-BaconAndEggs_344705-347849-F008265-F008356,8265,8356,0,0,0,,,P24-R03-BaconAndEggs-344705-347849-F008265-F008356,0
P24-R03-BaconAndEggs,P24-R03-BaconAndEggs_434475-438402-F010418-F010531,10418,10531,0,0,0,,,P24-R03-BaconAndEggs-434475-438402-F010418-F010531,0
P24-R03-BaconAndEggs,P24-R03-BaconAndEggs_656995-658237-F015764-F015801,15764,15801,0,0,0,,,P24-R03-BaconAndEggs-656995-658237-F015764-F015801,0
P24-R03-BaconAndEggs,P24-R03-BaconAndEggs_660883-663970-F015854-F015943,15854,15943,0,0,0,,,P24-R03-BaconAndEggs-660883-663970-F015854-F015943,0
P24-R03-BaconAndEggs,P24-R03-BaconAndEggs_691747-694940-F016594-F016686,16594,16686,0,0,0,,,P24-R03-BaconAndEggs-691747-694940-F016594-F016686,0
P24-R03-BaconAndEggs,P24-R03-BaconAndEggs_848897-853104-F020363-F020485,20363,20485,0,0,0,,,P24-R03-BaconAndEggs-848897-853104-F020363-F020485,0
P25-R06-GreekSalad,P25-R06-GreekSalad_1229425-1230609-F029503-F029538,29503,29538,0,0,0,,,P25-R06-GreekSalad-1229425-1230609-F029503-F029538,0
P25-R06-GreekSalad,P25-R06-GreekSalad_1270265-1275938-F030473-F030636,30473,30636,0,0,0,,,P25-R06-GreekSalad-1270265-1275938-F030473-F030636,0
P25-R06-GreekSalad,P25-R06-GreekSalad_1389462-1393343-F033338-F033450,33338,33450,0,0,0,,,P25-R06-GreekSalad-1389462-1393343-F033338-F033450,0
P25-R06-GreekSalad,P25-R06-GreekSalad_1439386-1453211-F034512-F034911,34512,34911,0,0,0,,,P25-R06-GreekSalad-1439386-1453211-F034512-F034911,0
P25-R06-GreekSalad,P25-R06-GreekSalad_1709659-1711323-F041027-F041076,41027,41076,0,0,0,,,P25-R06-GreekSalad-1709659-1711323-F041027-F041076,0
P25-R06-GreekSalad,P25-R06-GreekSalad_1917278-1923206-F046000-F046171,46000,46171,0,0,0,,,P25-R06-GreekSalad-1917278-1923206-F046000-F046171,0
P25-R06-GreekSalad,P25-R06-GreekSalad_1939308-1949186-F046520-F046804,46520,46804,0,0,0,,,P25-R06-GreekSalad-1939308-1949186-F046520-F046804,0
P25-R06-GreekSalad,P25-R06-GreekSalad_908996-910621-F021811-F021859,21811,21859,0,0,0,,,P25-R06-GreekSalad-908996-910621-F021811-F021859,0
P25-R06-GreekSalad,P25-R06-GreekSalad_932721-934346-F022381-F022429,22381,22429,0,0,0,,,P25-R06-GreekSalad-932721-934346-F022381-F022429,0
P25-R06-GreekSalad,P25-R06-GreekSalad_936738-939403-F022475-F022552,22475,22552,0,0,0,,,P25-R06-GreekSalad-936738-939403-F022475-F022552,0
P25-R06-GreekSalad,P25-R06-GreekSalad_98170-107091-F002335-F002592,2335,2592,0,0,0,,,P25-R06-GreekSalad-98170-107091-F002335-F002592,0
P26-R05-Cheeseburger,P26-R05-Cheeseburger_1048918-1053237-F025164-F025288,25164,25288,0,0,0,,,P26-R05-Cheeseburger-1048918-1053237-F025164-F025288,0
P19-R03-BaconAndEggs,P19-R03-BaconAndEggs_806419-820160-F019321-F019717,19321,19717,0,0,0,,,P19-R03-BaconAndEggs-806419-820160-F019321-F019717,0
P19-R04-ContinentalBreakfast,P19-R04-ContinentalBreakfast_114552-118095-F002741-F002843,2741,2843,0,0,0,,,P19-R04-ContinentalBreakfast-114552-118095-F002741-F002843,0
P19-R04-ContinentalBreakfast,P19-R04-ContinentalBreakfast_127668-129113-F003061-F003102,3061,3102,0,0,0,,,P19-R04-ContinentalBreakfast-127668-129113-F003061-F003102,0
P19-R04-ContinentalBreakfast,P19-R04-ContinentalBreakfast_139517-142221-F003342-F003420,3342,3420,0,0,0,,,P19-R04-ContinentalBreakfast-139517-142221-F003342-F003420,0
P19-R04-ContinentalBreakfast,P19-R04-ContinentalBreakfast_193997-198281-F004645-F004769,4645,4769,0,0,0,,,P19-R04-ContinentalBreakfast-193997-198281-F004645-F004769,0
P19-R04-ContinentalBreakfast,P19-R04-ContinentalBreakfast_223448-230227-F005346-F005542,5346,5542,0,0,0,,,P19-R04-ContinentalBreakfast-223448-230227-F005346-F005542,0
P19-R04-ContinentalBreakfast,P19-R04-ContinentalBreakfast_234267-241781-F005604-F005821,5604,5821,0,0,0,,,P19-R04-ContinentalBreakfast-234267-241781-F005604-F005821,0
P19-R04-ContinentalBreakfast,P19-R04-ContinentalBreakfast_330840-334098-F007932-F008027,7932,8027,0,0,0,,,P19-R04-ContinentalBreakfast-330840-334098-F007932-F008027,0
P19-R04-ContinentalBreakfast,P19-R04-ContinentalBreakfast_335075-340974-F008027-F008198,8027,8198,0,0,0,,,P19-R04-ContinentalBreakfast-335075-340974-F008027-F008198,0
P19-R04-ContinentalBreakfast,P19-R04-ContinentalBreakfast_346005-350936-F008292-F008435,8292,8435,0,0,0,,,P19-R04-ContinentalBreakfast-346005-350936-F008292-F008435,0
P19-R04-ContinentalBreakfast,P19-R04-ContinentalBreakfast_497250-505357-F011915-F012148,11915,12148,0,0,0,,,P19-R04-ContinentalBreakfast-497250-505357-F011915-F012148,0
P19-R04-ContinentalBreakfast,P19-R04-ContinentalBreakfast_50621-63058-F001184-F001544,1184,1544,0,0,0,,,P19-R04-ContinentalBreakfast-50621-63058-F001184-F001544,0
P19-R04-ContinentalBreakfast,P19-R04-ContinentalBreakfast_97360-104333-F002320-F002520,2320,2520,0,0,0,,,P19-R04-ContinentalBreakfast-97360-104333-F002320-F002520,0
P20-R03-BaconAndEggs,P20-R03-BaconAndEggs_383211-387037-F009188-F009298,9188,9298,0,0,0,,,P20-R03-BaconAndEggs-383211-387037-F009188-F009298,0
P20-R03-BaconAndEggs,P20-R03-BaconAndEggs_387799-389086-F009304-F009342,9304,9342,0,0,0,,,P20-R03-BaconAndEggs-387799-389086-F009304-F009342,0
P20-R03-BaconAndEggs,P20-R03-BaconAndEggs_415675-420091-F009966-F010093,9966,10093,0,0,0,,,P20-R03-BaconAndEggs-415675-420091-F009966-F010093,0
P20-R03-BaconAndEggs,P20-R03-BaconAndEggs_440285-442803-F010560-F010634,10560,10634,0,0,0,,,P20-R03-BaconAndEggs-440285-442803-F010560-F010634,0
P20-R03-BaconAndEggs,P20-R03-BaconAndEggs_471438-472648-F011311-F011347,11311,11347,0,0,0,,,P20-R03-BaconAndEggs-471438-472648-F011311-F011347,0
P20-R03-BaconAndEggs,P20-R03-BaconAndEggs_480651-484850-F011525-F011647,11525,11647,0,0,0,,,P20-R03-BaconAndEggs-480651-484850-F011525-F011647,0
P20-R03-BaconAndEggs,P20-R03-BaconAndEggs_488216-493424-F011705-F011855,11705,11855,0,0,0,,,P20-R03-BaconAndEggs-488216-493424-F011705-F011855,0
P20-R03-BaconAndEggs,P20-R03-BaconAndEggs_599485-610073-F014362-F014667,14362,14667,0,0,0,,,P20-R03-BaconAndEggs-599485-610073-F014362-F014667,0
P20-R03-BaconAndEggs,P20-R03-BaconAndEggs_629596-632778-F015103-F015194,15103,15194,0,0,0,,,P20-R03-BaconAndEggs-629596-632778-F015103-F015194,0
P20-R03-BaconAndEggs,P20-R03-BaconAndEggs_633827-636071-F015206-F015271,15206,15271,0,0,0,,,P20-R03-BaconAndEggs-633827-636071-F015206-F015271,0
P20-R03-BaconAndEggs,P20-R03-BaconAndEggs_675224-683100-F016186-F016414,16186,16414,0,0,0,,,P20-R03-BaconAndEggs-675224-683100-F016186-F016414,0
P20-R03-BaconAndEggs,P20-R03-BaconAndEggs_881572-911307-F021086-F021943,21086,21943,0,0,0,,,P20-R03-BaconAndEggs-881572-911307-F021086-F021943,0
P20-R04-ContinentalBreakfast,P20-R04-ContinentalBreakfast_115315-118365-F002760-F002848,2760,2848,0,0,0,,,P20-R04-ContinentalBreakfast-115315-118365-F002760-F002848,0
P20-R04-ContinentalBreakfast,P20-R04-ContinentalBreakfast_130130-132234-F003118-F003179,3118,3179,0,0,0,,,P20-R04-ContinentalBreakfast-130130-132234-F003118-F003179,0
P20-R04-ContinentalBreakfast,P20-R04-ContinentalBreakfast_154850-157266-F003710-F003781,3710,3781,0,0,0,,,P20-R04-ContinentalBreakfast-154850-157266-F003710-F003781,0
P20-R04-ContinentalBreakfast,P20-R04-ContinentalBreakfast_160948-165460-F003851-F003983,3851,3983,0,0,0,,,P20-R04-ContinentalBreakfast-160948-165460-F003851-F003983,0
P20-R04-ContinentalBreakfast,P20-R04-ContinentalBreakfast_188078-189837-F004509-F004561,4509,4561,0,0,0,,,P20-R04-ContinentalBreakfast-188078-189837-F004509-F004561,0
P20-R04-ContinentalBreakfast,P20-R04-ContinentalBreakfast_193023-194754-F004628-F004679,4628,4679,0,0,0,,,P20-R04-ContinentalBreakfast-193023-194754-F004628-F004679,0
P20-R04-ContinentalBreakfast,P20-R04-ContinentalBreakfast_396899-402421-F009512-F009672,9512,9672,0,0,0,,,P20-R04-ContinentalBreakfast-396899-402421-F009512-F009672,0
P20-R04-ContinentalBreakfast,P20-R04-ContinentalBreakfast_447138-449085-F010727-F010783,10727,10783,0,0,0,,,P20-R04-ContinentalBreakfast-447138-449085-F010727-F010783,0
P20-R04-ContinentalBreakfast,P20-R04-ContinentalBreakfast_503845-507949-F012082-F012201,12082,12201,0,0,0,,,P20-R04-ContinentalBreakfast-503845-507949-F012082-F012201,0
P20-R04-ContinentalBreakfast,P20-R04-ContinentalBreakfast_573184-582234-F013735-F013995,13735,13995,0,0,0,,,P20-R04-ContinentalBreakfast-573184-582234-F013735-F013995,0
P20-R04-ContinentalBreakfast,P20-R04-ContinentalBreakfast_633240-637133-F015188-F015301,15188,15301,0,0,0,,,P20-R04-ContinentalBreakfast-633240-637133-F015188-F015301,0
P20-R04-ContinentalBreakfast,P20-R04-ContinentalBreakfast_647096-649373-F015525-F015590,15525,15590,0,0,0,,,P20-R04-ContinentalBreakfast-647096-649373-F015525-F015590,0
P20-R04-ContinentalBreakfast,P20-R04-ContinentalBreakfast_687386-690825-F016489-F016588,16489,16588,0,0,0,,,P20-R04-ContinentalBreakfast-687386-690825-F016489-F016588,0
P20-R04-ContinentalBreakfast,P20-R04-ContinentalBreakfast_765796-772158-F018364-F018547,18364,18547,0,0,0,,,P20-R04-ContinentalBreakfast-765796-772158-F018364-F018547,0
P20-R04-ContinentalBreakfast,P20-R04-ContinentalBreakfast_91158-96172-F002175-F002321,2175,2321,0,0,0,,,P20-R04-ContinentalBreakfast-91158-96172-F002175-F002321,0
P20-R04-ContinentalBreakfast,P20-R04-ContinentalBreakfast_945984-948280-F022698-F022764,22698,22764,0,0,0,,,P20-R04-ContinentalBreakfast-945984-948280-F022698-F022764,0
P21-R03-BaconAndEggs,P21-R03-BaconAndEggs_205944-213624-F004924-F005145,4924,5145,0,0,0,,,P21-R03-BaconAndEggs-205944-213624-F004924-F005145,0
P21-R03-BaconAndEggs,P21-R03-BaconAndEggs_273983-279272-F006563-F006715,6563,6715,0,0,0,,,P21-R03-BaconAndEggs-273983-279272-F006563-F006715,0
P21-R03-BaconAndEggs,P21-R03-BaconAndEggs_318694-325794-F007631-F007837,7631,7837,0,0,0,,,P21-R03-BaconAndEggs-318694-325794-F007631-F007837,0
P21-R03-BaconAndEggs,P21-R03-BaconAndEggs_340071-345391-F008148-F008303,8148,8303,0,0,0,,,P21-R03-BaconAndEggs-340071-345391-F008148-F008303,0
P21-R03-BaconAndEggs,P21-R03-BaconAndEggs_494410-504001-F011842-F012120,11842,12120,0,0,0,,,P21-R03-BaconAndEggs-494410-504001-F011842-F012120,0
P21-R03-BaconAndEggs,P21-R03-BaconAndEggs_508376-518225-F012178-F012461,12178,12461,0,0,0,,,P21-R03-BaconAndEggs-508376-518225-F012178-F012461,0
P21-R03-BaconAndEggs,P21-R03-BaconAndEggs_59427-70635-F001399-F001723,1399,1723,0,0,0,,,P21-R03-BaconAndEggs-59427-70635-F001399-F001723,0
P21-R03-BaconAndEggs,P21-R03-BaconAndEggs_656391-661003-F015742-F015876,15742,15876,0,0,0,,,P21-R03-BaconAndEggs-656391-661003-F015742-F015876,0
P21-R03-BaconAndEggs,P21-R03-BaconAndEggs_759063-769455-F018192-F018492,18192,18492,0,0,0,,,P21-R03-BaconAndEggs-759063-769455-F018192-F018492,0
P21-R03-BaconAndEggs,P21-R03-BaconAndEggs_926894-934649-F022227-F022450,22227,22450,0,0,0,,,P21-R03-BaconAndEggs-926894-934649-F022227-F022450,0
P21-R04-ContinentalBreakfast,P21-R04-ContinentalBreakfast_1065184-1071735-F025549-F025737,25549,25737,0,0,0,,,P21-R04-ContinentalBreakfast-1065184-1071735-F025549-F025737,0
P21-R04-ContinentalBreakfast,P21-R04-ContinentalBreakfast_133261-137710-F003188-F003316,3188,3316,0,0,0,,,P21-R04-ContinentalBreakfast-133261-137710-F003188-F003316,0
P21-R04-ContinentalBreakfast,P21-R04-ContinentalBreakfast_165126-169446-F003953-F004077,3953,4077,0,0,0,,,P21-R04-ContinentalBreakfast-165126-169446-F003953-F004077,0
P21-R04-ContinentalBreakfast,P21-R04-ContinentalBreakfast_264989-269958-F006347-F006491,6347,6491,0,0,0,,,P21-R04-ContinentalBreakfast-264989-269958-F006347-F006491,0
P21-R04-ContinentalBreakfast,P21-R04-ContinentalBreakfast_270837-275349-F006489-F006620,6489,6620,0,0,0,,,P21-R04-ContinentalBreakfast-270837-275349-F006489-F006620,0
P14-R02-TurkeySandwich,P14-R02-TurkeySandwich_99662-103551-F002382-F002495,2382,2495,1,1,1,,,P14-R02-TurkeySandwich-99662-103551-F002382-F002495,1
P15-R01-PastaSalad,P15-R01-PastaSalad_1046347-1047532-F025109-F025144,25109,25144,1,1,1,,,P15-R01-PastaSalad-1046347-1047532-F025109-F025144,1
P15-R01-PastaSalad,P15-R01-PastaSalad_284573-286401-F006825-F006878,6825,6878,1,1,1,,,P15-R01-PastaSalad-284573-286401-F006825-F006878,1
P15-R01-PastaSalad,P15-R01-PastaSalad_312097-313864-F007486-F007537,7486,7537,1,1,1,,,P15-R01-PastaSalad-312097-313864-F007486-F007537,1
P15-R01-PastaSalad,P15-R01-PastaSalad_320643-322955-F007690-F007756,7690,7756,1,1,1,,,P15-R01-PastaSalad-320643-322955-F007690-F007756,1
P16-R03-BaconAndEggs,P16-R03-BaconAndEggs_1345000-1346200-F032277-F032312,32277,32312,1,1,1,,,P16-R03-BaconAndEggs-1345000-1346200-F032277-F032312,1
P16-R03-BaconAndEggs,P16-R03-BaconAndEggs_1588333-1590192-F038115-F038169,38115,38169,1,1,1,,,P16-R03-BaconAndEggs-1588333-1590192-F038115-F038169,1
P16-R03-BaconAndEggs,P16-R03-BaconAndEggs_1743572-1744797-F041842-F041879,41842,41879,1,1,1,,,P16-R03-BaconAndEggs-1743572-1744797-F041842-F041879,1
P16-R03-BaconAndEggs,P16-R03-BaconAndEggs_298400-301600-F007154-F007246,7154,7246,1,1,1,,,P16-R03-BaconAndEggs-298400-301600-F007154-F007246,1
P16-R03-BaconAndEggs,P16-R03-BaconAndEggs_353300-358500-F008467-F008616,8467,8616,1,1,1,,,P16-R03-BaconAndEggs-353300-358500-F008467-F008616,1
P16-R03-BaconAndEggs,P16-R03-BaconAndEggs_383296-385566-F009194-F009259,9194,9259,1,1,1,,,P16-R03-BaconAndEggs-383296-385566-F009194-F009259,1
P17-R03-BaconAndEggs,P17-R03-BaconAndEggs_207171-208795-F004968-F005016,4968,5016,1,1,1,,,P17-R03-BaconAndEggs-207171-208795-F004968-F005016,1
P17-R03-BaconAndEggs,P17-R03-BaconAndEggs_478226-479291-F011475-F011505,11475,11505,1,1,1,,,P17-R03-BaconAndEggs-478226-479291-F011475-F011505,1
P17-R03-BaconAndEggs,P17-R03-BaconAndEggs_920994-922042-F022101-F022132,22101,22132,1,1,1,,,P17-R03-BaconAndEggs-920994-922042-F022101-F022132,1
P17-R04-ContinentalBreakfast,P17-R04-ContinentalBreakfast_283500-284343-F006802-F006827,6802,6827,1,1,1,,,P17-R04-ContinentalBreakfast-283500-284343-F006802-F006827,1
P17-R04-ContinentalBreakfast,P17-R04-ContinentalBreakfast_586592-587462-F014076-F014102,14076,14102,1,1,1,,,P17-R04-ContinentalBreakfast-586592-587462-F014076-F014102,1
P17-R04-ContinentalBreakfast,P17-R04-ContinentalBreakfast_749416-750496-F017983-F018014,17983,18014,1,1,1,,,P17-R04-ContinentalBreakfast-749416-750496-F017983-F018014,1
